عنوان,1402,1401,1400,1399,1398,1397,1396,1395,1394,1393
درآمدهای عملياتی,573194876,446877616,350583948,200419254,108627318,72003202,,,,
بهاى تمام شده درآمدهای عملياتی,-560354434,-461919993,-311093781,-165116815,-93192444,-53713597,,,,
سود(زيان) ناخالص,12840442,-15042377,39490167,35302439,15434874,18289605,,,,
هزينه‏ هاى فروش، ادارى و عمومى,-37574959,-28592373,-17944335,-9723067,-5218585,-3677234,,,,
ساير درآمدها,698689,440087,1786942,149842,161475,627196,,,,
ساير هزينه‌ها,-1997444,-4388692,-562204,-3900859,-551243,-664351,,,,
سود(زيان) عملياتى,-26033272,-47583355,22770570,20721036,9826521,14575216,,,,
هزينه‏ هاى مالى,-25964798,-15589626,-10350870,-5863505,-5398733,-7160754,,,,
ساير درآمدها و هزينه ‏هاى غيرعملياتى,10525895,4846104,1841279,1490582,2952257,468855,,,,
سود(زيان) عمليات در حال تداوم قبل از ماليات,-41472175,-58326877,21133247,17006427,8076106,7454959,,,,
سال جاری,0,0,-670048,0,0,0,,,,
سال‌های قبل,0,-988962,-272756,-1187474,-544975,0,,,,
سود(زيان) خالص عمليات در حال تداوم,-41472175,-59315839,20190443,15818953,7531131,7454959,,,,
سود(زيان) خالص,-41472175,-59315839,20190443,15818953,0,0,,,,
عملياتی (ريال),-39,-71,347,317,7531131,7454959,,,,
غيرعملياتی (ريال),-23,-18,-19,-60,151,237,,,,
ناشی از عمليات در حال تداوم,-62,-89,328,257,-29,-116,,,,
ناشی از عمليات متوقف شده,0,0,0,0,122,121,,,,
سود(زيان) پايه هر سهم,-62,-89,328,257,122,121,,,,
سود (زيان) خالص هر سهم – ريال,-62,-89,328,257,122,121,,,,
سرمايه,667084566,667084566,61503539,61503539,61503539,61503539,,,,
دارايی های ثابت مشهود,866747492,128401054,111804588,100138086,91992234,89144811,,,,
دارايی های نامشهود,231987,226857,211707,210755,198255,149495,,,,
سرمايه‌گذاری های بلندمدت,11841571,7979212,6451075,2620661,1205408,1178549,,,,
دريافتنی های بلندمدت,10403991,9147363,11285278,5038056,4579962,2660245,,,,
ساير دارايی ها,1516813,1792958,1681083,913460,755099,548573,,,,
جمع دارايی های غيرجاری,890741854,147547444,131433731,108921018,98730958,93681673,,,,
سفارشات و پيش‌پرداخت‌ها,13565626,22303861,13976523,7915016,6782865,5729121,,,,
موجودی مواد و کالا,176153324,156902103,85823636,55645562,25756284,16653318,,,,
دريافتنی های تجاری و ساير دريافتنی ها,69809920,67041745,44678085,24704716,20706285,15393854,,,,
سرمايه‌گذاری های کوتاه‌مدت ,6324641,0,500000,600000,0,166908,,,,
موجودی نقد,18291809,19396606,12318197,2408176,1927377,1327977,,,,
دارايی های نگهداری شده برای فروش,284145320,265644315,0,0,0,0,,,,
جمع دارايی های جاری,284145320,265644315,157296441,91273470,55172811,39271178,,,,
جمع دارایی ها,1174887174,413191759,288730172,200194488,153903769,132952851,,,,
سرمايه,667084566,70775539,61503539,61503539,61503539,61503539,,,,
افزايش سرمايه در جريان,0,0,0,0,0,0,,,,
صرف سهام,0,0,0,0,0,0,,,,
صرف سهام خزانه,0,0,0,0,0,0,,,,
اندوخته قانونی,2151669,2151669,2151669,1142147,351199,351199,,,,
ساير اندوخته‌ها,411901,411901,411901,411901,411901,411901,,,,
مازاد تجديدارزيابی دارايی ها,122286227,0,0,0,0,0,,,,
تفاوت تسعير ارز عمليات خارجی,0,0,0,0,0,0,,,,
سود(زيان) انباشته,-83208133,-41731675,25475284,9738561,-5289444,-12820575,,,,
سهام خزانه,-891567,0,0,0,0,0,,,,
جمع حقوق مالکانه,707834663,31607434,89542393,72796148,56977195,49446064,,,,
پرداختنی های بلندمدت,46352419,33030829,21495244,15642812,14892938,10788450,,,,
تسهيلات مالی بلندمدت,174982,5943,3076862,11126219,13842939,14610088,,,,
ذخيره مزايای پايان خدمت کارکنان,35624840,29388395,13542285,9202487,7278201,5887310,,,,
جمع بدهی های غيرجاری,82152241,62425167,38114391,35971518,36014078,31285848,,,,
پرداختنی های تجاری و ساير پرداختنی ها,174504786,143952199,57153203,41844207,22804506,21332750,,,,
ماليات پرداختنی,0,695237,939299,771180,434975,0,,,,
سود سهام پرداختنی,4658103,4747768,2009775,0,0,148858,,,,
تسهيلات مالی,98701090,89699055,73430541,35523924,17677921,18622350,,,,
ذخاير,0,0,0,0,0,0,,,,
پيش‌دريافت‌ها,107036291,80064899,27540570,13287511,19995094,12116981,,,,
بدهی های ‌مرتبط ‌با دارايی های نگهداری شده برای ‌فروش,384900270,319159158,161073388,91426822,60912496,52220939,,,,
جمع بدهی های جاری,384900270,319159158,161073388,91426822,60912496,52220939,,,,
جمع بدهی ها,467052511,381584325,199187779,127398340,96926574,83506787,,,,
جمع حقوق مالکانه و بدهی ها,1174887174,413191759,288730172,200194488,153903769,132952851,,,,
استهلاک,,,,,,,,,,
