عنوان,1402,1401,1400,1399,1398,1397,1396,1395,1394,1393
درآمدهای عملياتی,3346528439,3219552724,1976310636,894983110,720189020,453226514,,,,
بهاى تمام شده درآمدهای عملياتی,-3060512049,-2821591736,-1719986085,-780168572,-661554106,-408773170,,,,
سود(زيان) ناخالص,286016390,397960988,256324551,114814538,58634914,44453344,,,,
هزينه‏ هاى فروش، ادارى و عمومى,-23941981,-26495557,-22926741,-10855988,-5630940,-4162045,,,,
ساير درآمدها,78485642,76848592,7958231,58360923,13420816,1073224,,,,
ساير هزينه‌ها,0,0,0,-9263635,-37560139,0,,,,
سود(زيان) عملياتى,340560051,448314023,241356041,153055838,28864651,41364523,,,,
هزينه‏ هاى مالى,-13649574,-8847127,-1539421,-4453702,-196008,-199739,,,,
ساير درآمدها و هزينه ‏هاى غيرعملياتى,25557823,21194341,12459042,3543012,1713840,1069182,,,,
سود(زيان) عمليات در حال تداوم قبل از ماليات,352468300,460661237,259685127,157559223,32546885,43371923,,,,
سال جاری,-70270118,-51688545,-32303464,-23487472,-6166609,-8284094,,,,
سال‌های قبل,0,0,0,0,0,0,,,,
سود(زيان) خالص عمليات در حال تداوم,282198182,408972692,227381663,134071751,26380276,35087829,,,,
سود(زيان) خالص,282198182,408972692,227381663,134071751,26380276,35087829,,,,
عملياتی (ريال),2019,2952,1565,966,805,1154,,,,
غيرعملياتی (ريال),82,92,128,32,115,69,,,,
ناشی از عمليات در حال تداوم,2101,3044,1693,998,920,1223,,,,
ناشی از عمليات متوقف شده,0,0,0,0,0,0,,,,
سود(زيان) پايه هر سهم,2101,3044,1693,998,920,1223,,,,
سود (زيان) خالص هر سهم – ريال,2101,3044,1693,998,920,1223,,,,
سرمايه,134341922,134341922,134341922,134341922,28688000,28688000,,,,
دارايی های ثابت مشهود,204087595,166400449,152082080,51249233,38646564,33675527,,,,
دارايی های نامشهود,71675,75314,81488,51651,51898,16200,,,,
سرمايه‌گذاری های بلندمدت,3476103,1400115,700135,55135,20135,35299,,,,
دريافتنی های بلندمدت,0,0,0,0,0,0,,,,
ساير دارايی ها,864983,625192,519320,263152,160675,163018,,,,
جمع دارايی های غيرجاری,208500356,168501070,153383023,51619171,38879272,33890044,,,,
سفارشات و پيش‌پرداخت‌ها,6696091,4543121,2499143,1693498,1141434,479927,,,,
موجودی مواد و کالا,201247960,260412570,246287533,126511754,59744527,56664716,,,,
دريافتنی های تجاری و ساير دريافتنی ها,541039639,324531926,54851475,57962900,13759290,3122266,,,,
سرمايه‌گذاری های کوتاه‌مدت ,26926551,43231350,57095709,35286440,5816993,2599993,,,,
موجودی نقد,8118791,13767500,7928132,15793031,8986624,5912042,,,,
دارايی های نگهداری شده برای فروش,0,0,0,0,0,0,,,,
جمع دارايی های جاری,784029032,646486467,368661992,237247623,89448868,68778944,,,,
جمع دارایی ها,992529388,814987537,522045015,288866794,128328140,102668988,,,,
سرمايه,134341922,134341922,134341922,28688000,28688000,13800000,,,,
افزايش سرمايه در جريان,0,0,0,0,0,0,,,,
صرف سهام,0,0,0,0,0,0,,,,
صرف سهام خزانه,0,0,0,0,0,0,,,,
اندوخته قانونی,13434192,13434192,13434192,2868800,2699014,1380000,,,,
ساير اندوخته‌ها,163593078,4001,4001,12664192,12664192,19638109,,,,
مازاد تجديدارزيابی دارايی ها,6658078,6658078,6658078,0,0,0,,,,
تفاوت تسعير ارز عمليات خارجی,0,0,0,0,0,0,,,,
سود(زيان) انباشته,318092608,468167347,240556250,138155342,16302337,22615158,,,,
سهام خزانه,0,0,0,0,0,0,,,,
جمع حقوق مالکانه,636119878,622605540,394994443,182376334,60353543,57433267,,,,
پرداختنی های بلندمدت,0,0,0,0,0,0,,,,
تسهيلات مالی بلندمدت,0,0,0,0,0,0,,,,
ذخيره مزايای پايان خدمت کارکنان,6567486,2061459,3584707,2993933,1465703,1083756,,,,
جمع بدهی های غيرجاری,6567486,2061459,3584707,2993933,1465703,1083756,,,,
پرداختنی های تجاری و ساير پرداختنی ها,80416475,47124420,63365608,77193432,56321041,29081790,,,,
ماليات پرداختنی,71066937,55568447,28681472,16551707,5803765,6588512,,,,
سود سهام پرداختنی,120050032,33900013,4038663,1099879,3649043,6949042,,,,
تسهيلات مالی,47103645,36882496,22070506,4323304,636221,0,,,,
ذخاير,0,0,0,0,0,0,,,,
پيش‌دريافت‌ها,31204935,16845162,5309616,4328205,98824,1532621,,,,
بدهی های ‌مرتبط ‌با دارايی های نگهداری شده برای ‌فروش,0,0,0,0,0,0,,,,
جمع بدهی های جاری,349842024,190320538,123465865,103496527,66508894,44151965,,,,
جمع بدهی ها,356409510,192381997,127050572,106490460,67974597,45235721,,,,
جمع حقوق مالکانه و بدهی ها,992529388,814987537,522045015,288866794,128328140,102668988,,,,
استهلاک,,,,,,,,,,
