عنوان,1402,1401,1400,1399,1398,1397,1396,1395,1394,1393
درآمدهای عملياتی,2410860380,1607038537,1456266489,774036745,391458791,234757238,,,,
بهاى تمام شده درآمدهای عملياتی,-1540546968,-1039222069,-701949251,-406302318,-225458652,-124803148,,,,
سود(زيان) ناخالص,870313412,567816468,754317238,367734427,166000139,109954090,,,,
هزينه‏ هاى فروش، ادارى و عمومى,-89316615,-59428585,-32283996,-18679133,-11938176,-7692537,,,,
ساير درآمدها,6839536,32504837,14695032,6581412,2162262,17421424,,,,
ساير هزينه‌ها,-8491248,-4297258,-2440741,-225267,-3637612,-344455,,,,
سود(زيان) عملياتى,779345085,536595462,734287533,355411439,152586613,119338522,,,,
هزينه‏ هاى مالى,-84815151,-36101783,-24945630,-30243308,-14710422,-10253754,,,,
ساير درآمدها و هزينه ‏هاى غيرعملياتى,339871539,228667077,149617396,80638813,27392943,17017684,,,,
سود(زيان) عمليات در حال تداوم قبل از ماليات,1034401473,729160756,891488788,415178028,168998457,132169187,,,,
سال جاری,-108891076,-49919939,-51182605,-24837409,-17404115,-13064930,,,,
سال‌های قبل,0,0,0,-7565608,-3634534,3200915,,,,
سود(زيان) خالص عمليات در حال تداوم,925510397,679240817,840306183,382775011,147959808,122305172,,,,
سود(زيان) خالص,925510397,679240817,840306183,382775011,147959808,122305172,,,,
عملياتی (ريال),626,456,2375,1125,643,507,,,,
غيرعملياتی (ريال),237,179,507,188,65,78,,,,
ناشی از عمليات در حال تداوم,863,635,2882,1313,708,585,,,,
ناشی از عمليات متوقف شده,0,0,0,0,0,0,,,,
سود(زيان) پايه هر سهم,863,635,2882,1313,708,585,,,,
سود (زيان) خالص هر سهم – ريال,857,629,2868,1306,708,585,,,,
سرمايه,1080000000,1080000000,293000000,293000000,209000000,209000000,,,,
دارايی های ثابت مشهود,460310173,282938401,131616402,76673491,66350750,62832475,,,,
دارايی های نامشهود,2406607,2611187,1701331,1742459,1986785,1790855,,,,
سرمايه‌گذاری های بلندمدت,557726716,366528457,221517049,130610811,86458996,70902165,,,,
دريافتنی های بلندمدت,8698881,6432645,19386647,9616590,9397134,7176985,,,,
ساير دارايی ها,7546287,11277662,7766300,7411803,17622158,11303700,,,,
جمع دارايی های غيرجاری,1036688664,669788352,381987729,226055154,181815823,154006180,,,,
سفارشات و پيش‌پرداخت‌ها,166229739,177102232,62160154,32236233,38161738,32055261,,,,
موجودی مواد و کالا,842333898,715363278,529324844,318579451,207131130,84622166,,,,
دريافتنی های تجاری و ساير دريافتنی ها,918721854,701739539,553481289,319211862,127194761,110163944,,,,
سرمايه‌گذاری های کوتاه‌مدت ,122000675,141255534,200817779,84796733,3650771,0,,,,
موجودی نقد,156149629,110053180,102310772,54884006,24864890,7749599,,,,
دارايی های نگهداری شده برای فروش,0,1358966,0,0,0,0,,,,
جمع دارايی های جاری,2205435795,1846872729,1448094838,809708285,401003290,234590970,,,,
جمع دارایی ها,3242124459,2516661081,1830082567,1035763439,582819113,388597150,,,,
سرمايه,1080000000,800000000,293000000,209000000,209000000,130000000,,,,
افزايش سرمايه در جريان,0,0,0,0,0,0,,,,
صرف سهام,0,0,0,0,0,0,,,,
صرف سهام خزانه,11815006,3465056,0,0,0,0,,,,
اندوخته قانونی,108000000,63262041,29300000,20900000,20397990,13000000,,,,
ساير اندوخته‌ها,0,0,0,446262,446262,446262,,,,
مازاد تجديدارزيابی دارايی ها,0,0,0,0,0,0,,,,
تفاوت تسعير ارز عمليات خارجی,937020058,734389498,0,0,0,0,,,,
سود(زيان) انباشته,-16838530,-34309069,1098364923,466642814,142105126,119543308,,,,
سهام خزانه,2119996534,1566807526,-15447539,-15303167,0,0,,,,
جمع حقوق مالکانه,0,0,1405217384,681685909,371949378,262989570,,,,
پرداختنی های بلندمدت,80000000,40000000,0,0,0,0,,,,
تسهيلات مالی بلندمدت,0,0,0,0,0,0,,,,
ذخيره مزايای پايان خدمت کارکنان,8287702,30601814,16771843,13556601,10075432,7443564,,,,
جمع بدهی های غيرجاری,88287702,70601814,16771843,13556601,10075432,7443564,,,,
پرداختنی های تجاری و ساير پرداختنی ها,337533677,289330894,159899506,67208009,40101075,24356032,,,,
ماليات پرداختنی,110902316,58596627,41689686,26085459,19505029,9069899,,,,
سود سهام پرداختنی,53161483,132935470,54680953,9685685,5852350,13879214,,,,
تسهيلات مالی,328931925,290588200,131211066,164772916,95613225,66274179,,,,
ذخاير,0,0,0,0,0,0,,,,
پيش‌دريافت‌ها,203310822,107800550,20612129,72768860,39722624,4584692,,,,
بدهی های ‌مرتبط ‌با دارايی های نگهداری شده برای ‌فروش,0,0,0,0,0,0,,,,
جمع بدهی های جاری,1033840223,879251741,408093340,340520929,200794303,118164016,,,,
جمع بدهی ها,1122127925,949853555,424865183,354077530,210869735,125607580,,,,
جمع حقوق مالکانه و بدهی ها,3242124459,2516661081,1830082567,1035763439,582819113,388597150,,,,
استهلاک,,,,,,,,,,
